fid,samp,mass,vv,tlh,tdh,trh,t2,tmax,intertidal,replicate,mod,hi,NJ,m,year,,,,,
228,38,0.000001,NA,NA,NA,NA,0,0,0,2,0,1,0,1,2015,,,,,
229,39,0.1,0,3,2,0,0,0,0,3,0,1,0,1,2015,,,,,
230,39,0.01,0,3,0,0,0,0,0,3,0,1,0,1,2015,,,,,
231,39,0.001,0,1,0,0,0,0,0,3,0,1,0,1,2015,,,,,
232,39,0.0001,NA,NA,NA,NA,0,0,0,3,0,1,0,1,2015,,,,,
233,39,0.00001,NA,NA,NA,NA,0,0,0,3,0,1,0,1,2015,,,,,
234,39,0.000001,NA,NA,NA,NA,0,0,0,3,0,1,0,1,2015,,,,,
235,40,0.1,0,3,3,0,0,0,0,4,0,1,0,1,2015,,,,,
236,40,0.01,0,3,1,1,0,0,0,4,0,1,0,1,2015,,,,,
237,40,0.001,0,3,1,0,0,0,0,4,0,1,0,1,2015,,,,,
238,40,0.0001,0,0,0,0,0,0,0,4,0,1,0,1,2015,,,,,
239,40,0.00001,NA,NA,NA,NA,0,0,0,4,0,1,0,1,2015,,,,,
240,40,0.000001,NA,NA,NA,NA,0,0,0,4,0,1,0,1,2015,,,,,
241,41,0.1,0,3,0,0,1,0,1,1,0,1,0,1,2015,,,,,
242,41,0.01,0,2,0,0,1,0,1,1,0,1,0,1,2015,,,,,
243,41,0.001,0,1,0,0,1,0,1,1,0,1,0,1,2015,,,,,
244,41,0.0001,0,0,0,0,1,0,1,1,0,1,0,1,2015,,,,,
245,41,0.00001,NA,NA,NA,NA,1,0,1,1,0,1,0,1,2015,,,,,
246,41,0.000001,NA,NA,NA,NA,1,0,1,1,0,1,0,1,2015,,,,,
247,42,0.1,0,3,0,1,1,0,1,2,0,1,0,1,2015,,,,,
248,42,0.01,0,0,0,0,1,0,1,2,0,1,0,1,2015,,,,,
249,42,0.001,0,0,0,0,1,0,1,2,0,1,0,1,2015,,,,,
250,42,0.0001,NA,NA,NA,NA,1,0,1,2,0,1,0,1,2015,,,,,
251,42,0.00001,NA,NA,NA,NA,1,0,1,2,0,1,0,1,2015,,,,,
252,42,0.000001,NA,NA,NA,NA,1,0,1,2,0,1,0,1,2015,,,,,
253,43,0.1,0,2,0,0,1,0,1,3,0,1,0,1,2015,,,,,
254,43,0.01,0,1,0,0,1,0,1,3,0,1,0,1,2015,,,,,
255,43,0.001,0,0,0,0,1,0,1,3,0,1,0,1,2015,,,,,
256,43,0.0001,NA,NA,NA,NA,1,0,1,3,0,1,0,1,2015,,,,,
257,43,0.00001,NA,NA,NA,NA,1,0,1,3,0,1,0,1,2015,,,,,
258,43,0.000001,NA,NA,NA,NA,1,0,1,3,0,1,0,1,2015,,,,,
259,44,0.1,0,3,1,0,1,0,1,4,0,1,0,1,2015,,,,,
260,44,0.01,0,2,0,0,1,0,1,4,0,1,0,1,2015,,,,,
261,44,0.001,0,1,0,0,1,0,1,4,0,1,0,1,2015,,,,,
262,44,0.0001,0,1,0,0,1,0,1,4,0,1,0,1,2015,,,,,
263,44,0.00001,NA,NA,NA,NA,1,0,1,4,0,1,0,1,2015,,,,,
264,44,0.000001,NA,NA,NA,NA,1,0,1,4,0,1,0,1,2015,,,,,
265,45,0.1,0,3,0,1,1,0,0,1,0,1,0,1,2015,,,,,
266,45,0.01,1,1,0,0,1,0,0,1,0,1,0,1,2015,,,,,
267,45,0.001,0,1,0,0,1,0,0,1,0,1,0,1,2015,,,,,
268,45,0.0001,0,0,0,0,1,0,0,1,0,1,0,1,2015,,,,,
269,45,0.00001,NA,NA,NA,NA,1,0,0,1,0,1,0,1,2015,,,,,
270,45,0.000001,NA,NA,NA,NA,1,0,0,1,0,1,0,1,2015,,,,,
271,46,0.1,0,3,0,0,1,0,0,2,0,1,0,1,2015,,,,,
272,46,0.01,0,3,1,0,1,0,0,2,0,1,0,1,2015,,,,,
273,46,0.001,0,2,0,0,1,0,0,2,0,1,0,1,2015,,,,,
274,46,0.0001,0,0,0,0,1,0,0,2,0,1,0,1,2015,,,,,
275,46,0.00001,NA,NA,NA,NA,1,0,0,2,0,1,0,1,2015,,,,,
276,46,0.000001,NA,NA,NA,NA,1,0,0,2,0,1,0,1,2015,,,,,
277,47,0.1,0,3,1,0,1,0,0,3,0,1,0,1,2015,,,,,
278,47,0.01,0,0,0,0,1,0,0,3,0,1,0,1,2015,,,,,
279,47,0.001,0,0,0,0,1,0,0,3,0,1,0,1,2015,,,,,
280,47,0.0001,0,0,0,0,1,0,0,3,0,1,0,1,2015,,,,,
281,47,0.00001,NA,NA,NA,NA,1,0,0,3,0,1,0,1,2015,,,,,
282,47,0.000001,NA,NA,NA,NA,1,0,0,3,0,1,0,1,2015,,,,,
283,48,0.1,0,3,1,0,1,0,0,4,0,1,0,1,2015,,,,,
284,48,0.01,0,0,0,0,1,0,0,4,0,1,0,1,2015,,,,,
285,48,0.001,0,0,0,0,1,0,0,4,0,1,0,1,2015,,,,,
286,48,0.0001,0,0,0,0,1,0,0,4,0,1,0,1,2015,,,,,
287,48,0.00001,NA,NA,NA,NA,1,0,0,4,0,1,0,1,2015,,,,,
288,48,0.000001,NA,NA,NA,NA,1,0,0,4,0,1,0,1,2015,,,,,
289,49,0.1,3,3,0,0,0,0,1,1,0,0,0,2,2015,,,,,
